ADR_CP	ADR_VILLE	ADR_PAYS	ID_ANO
78590	Noisy Le Roi	FR	37729367
78110	Le Vésinet	FR	6335547
95650	GENICOURT	FR	65790707
95680	MONTLIGNON	FR	13776584
0	INCONNUE	FR	20639018
75011	PARIS	FR	74672373
95800	Cergy Le Haut	FR	78105778
75016	PARIS	FR	19872513
75018	PARIS	FR	21155046
78150	LE CHESNAY	FR	14294078
64000	PAU	FR	52493082
0	INCONNUE	FR	57934051
0	INCONNUE	FR	80875814
0	INCONNUE	FR	99242403
95800	CERGY	FR	62197232
78530	BUC	FR	92342619
0	INCONNUE	FR	61541666
0	INCONNUE	FR	12040165
64110	MAZÈRES-LEZONS	FR	90376617
59263	HOUPLIN ANCOISNE	FR	34642378
0	INCONNUE	FR	20901205
95000	CERGY	FR	74309885
95000	CERGY PONTOISE	FR	60909
95000	CERGY	FR	14144481
64000	PAU	FR	1396958
75006	PARIS	FR	22130632
0	INCONNUE	FR	92540441
94200	IVRY SUR SEINE	FR	10264911
93420	VILLEPINTE	FR	14599334
95000	CERGY	FR	48788550
0	INCONNUE	FR	50664543
92220	BAGNEUX	FR	5647229
95000	Cergy	FR	91834797
31100	TOULOUSE	FR	77039857
79160	COULONGES-SUR-L'AUTIZE	FR	33407303
0	INCONNUE	FR	30448264
64420	SOUMOULOU	FR	84290372
75012	PARIS	FR	1573527
95000	Cergy	FR	10770957
78460	CHEVREUSE	FR	94918522
95420	MAGNY EN VEXIN	FR	15891795
93360	NEUILLY PLAISANCE	FR	93224756
75019	PARIS	FR	59280123
95011	CERGY	FR	54025358
0	INCONNUE	FR	43834492
78500	SARTROUVILLE	FR	71019500
0	INCONNUE	FR	96417031
0	INCONNUE	FR	25709638
78420	CARRIÈRES SUR SEINE	FR	65982873
0	INCONNUE	FR	30925110
0	INCONNUE	FR	13026259
0	INCONNUE	FR	29321136
0	INCONNUE	FR	7609094
0	INCONNUE	FR	16201234
38000	GRENOBLE	FR	88808962
94350	VILLIERS SUR MARNE	FR	39126324
92330	SCEAUX	FR	28466179
0	INCONNUE	FR	58331148
95340	RONQUEROLLES	FR	24041494
95000	CERGY	FR	35238351
95000	NEUVILLE-SUR-OISE	FR	23460924
0	INCONNUE	FR	28770321
0	INCONNUE	FR	25519742
95160	MONTMORENCY	FR	12989843
95430	AUVERS SUR OISE	FR	91333934
95800	CERGY ST CHRISTOPHE	FR	85900384
0	INCONNUE	FR	88382314
0	INCONNUE	FR	65166186
45110	CHATEAUNEUF-SUR-LOIRE	FR	815930
95000	Cergy	FR	72968188
27400	HONDOUVILLE	FR	87261141
75002	PARIS	FR	77433460
75015	PARIS	FR	5264921
33700	MERIGNAC	FR	49656739
69003	LYON	FR	88667735
0	INCONNUE	FR	64735697
0	INCONNUE	FR	45329385
95300	PONTOISE	FR	96477939
0	INCONNUE	FR	39854118
14000	CAEN	FR	67379830
95014	CERGY	FR	53055741
0	Bruxelles	BE	5566701
0	INCONNUE	FR	39586046
95800	CERGY	FR	22208427
95000	CERGY	FR	64989783
64110	JURANCON	FR	39473505
0	INCONNUE	FR	44773552
78000	VERSAILLES	FR	20300975
0	INCONNUE	FR	35371005
95000	Cergy	FR	57448796
30340	Mons	FR	65686613
78280	GUYANCOURT	FR	7751296
64400	LEDEUIX	FR	30343847
0	INCONNUE	FR	36290698
0	INCONNUE	FR	7908365
92110	CLICHY	FR	7225729
0	INCONNUE	FR	79125139
91360	VILLEMOISSON SUR ORGE	FR	47662436
0	INCONNUE	FR	19191545
0	INCONNUE	FR	44650421
