ADR_CP,ADR_VILLE,ADR_PAYS,ID_ANO
78110.0,Le Vésinet,FR,6335547
95650.0,GENICOURT,FR,65790707
95680.0,MONTLIGNON,FR,13776584
,,FR,20639018
75011.0,PARIS,FR,74672373
95800.0,Cergy Le Haut,FR,78105778
75016.0,PARIS,FR,19872513
75018.0,PARIS,FR,21155046
78150.0,LE CHESNAY,FR,14294078
64000.0,PAU,FR,52493082
,,FR,57934051
,,FR,80875814
,,FR,99242403
95800.0,CERGY,FR,62197232
78530.0,BUC,FR,92342619
,,FR,61541666
,,FR,12040165
64110.0,MAZÈRES-LEZONS,FR,90376617
59263.0,HOUPLIN ANCOISNE,FR,34642378
,,FR,20901205
95000.0,CERGY,FR,74309885
95000.0,CERGY PONTOISE,FR,60909
95000.0,CERGY,FR,14144481
64000.0,PAU,FR,1396958
75006.0,PARIS,FR,22130632
,,FR,92540441
94200.0,IVRY SUR SEINE,FR,10264911
93420.0,VILLEPINTE,FR,14599334
95000.0,CERGY,FR,48788550
,,FR,50664543
92220.0,BAGNEUX,FR,5647229
95000.0,Cergy,FR,91834797
31100.0,TOULOUSE,FR,77039857
79160.0,COULONGES-SUR-L'AUTIZE,FR,33407303
,,FR,30448264
64420.0,SOUMOULOU,FR,84290372
75012.0,PARIS,FR,1573527
95000.0,Cergy,FR,10770957
78460.0,CHEVREUSE,FR,94918522
95420.0,MAGNY EN VEXIN,FR,15891795
93360.0,NEUILLY PLAISANCE,FR,93224756
75019.0,PARIS,FR,59280123
95011.0,CERGY,FR,54025358
,,FR,43834492
78500.0,SARTROUVILLE,FR,71019500
,,FR,96417031
,,FR,25709638
78420.0,CARRIÈRES SUR SEINE,FR,65982873
,,FR,30925110
,,FR,13026259
,,FR,29321136
,,FR,7609094
,,FR,16201234
38000.0,GRENOBLE,FR,88808962
94350.0,VILLIERS SUR MARNE,FR,39126324
92330.0,SCEAUX,FR,28466179
,,FR,58331148
95340.0,RONQUEROLLES,FR,24041494
95000.0,CERGY,FR,35238351
95000.0,NEUVILLE-SUR-OISE,FR,23460924
,,FR,28770321
,,FR,25519742
95160.0,MONTMORENCY,FR,12989843
95430.0,AUVERS SUR OISE,FR,91333934
95800.0,CERGY ST CHRISTOPHE,FR,85900384
,,FR,88382314
,,FR,65166186
45110.0,CHATEAUNEUF-SUR-LOIRE,FR,815930
95000.0,Cergy,FR,72968188
27400.0,HONDOUVILLE,FR,87261141
75002.0,PARIS,FR,77433460
75015.0,PARIS,FR,5264921
33700.0,MERIGNAC,FR,49656739
69003.0,LYON,FR,88667735
,,FR,64735697
,,FR,45329385
95300.0,PONTOISE,FR,96477939
,,FR,39854118
14000.0,CAEN,FR,67379830
95014.0,CERGY,FR,53055741
,Bruxelles,BE,5566701
,,FR,39586046
95800.0,CERGY,FR,22208427
95000.0,CERGY,FR,64989783
64110.0,JURANCON,FR,39473505
,,FR,44773552
78000.0,VERSAILLES,FR,20300975
,,FR,35371005
95000.0,Cergy,FR,57448796
30340.0,Mons,FR,65686613
78280.0,GUYANCOURT,FR,7751296
64400.0,LEDEUIX,FR,30343847
,,FR,36290698
,,FR,7908365
92110.0,CLICHY,FR,7225729
,,FR,79125139
91360.0,VILLEMOISSON SUR ORGE,FR,47662436
,,FR,19191545
,,FR,44650421
,,FR,43987688
95801.0,CERGY,FR,83678172
95430.0,AUVERS SUR OISE,FR,3143098
64000.0,PAU,FR,71247793
64000.0,PAU,FR,80581848
51390.0,JOUY-LES-REIMS,FR,1693994
95550.0,BESSANCOURT,FR,94056831
,,FR,52938478
,,FR,12679173
33000.0,BORDEAUX,FR,28663080
95800.0,CERGY,FR,6506153
,,FR,81521919
95620.0,PARMAIN,FR,63897848
,,FR,63627538
78500.0,SARTROUVILLE,FR,57446777
78950.0,GAMBAIS,FR,88450706
64121.0,MONTARDON,FR,68243825
,,FR,70293293
,,FR,33290817
95000.0,CERGY,FR,26704940
,,FR,43349179
,,FR,54068927
95800.0,CERGY LE HAUT,FR,72917481
95880.0,ENGHIENS LES BAINS,FR,31159775
,,SE,9258886
60300.0,AVILLY SAINT LEONARD,FR,95169505
92500.0,RUEIL MALMAISON,FR,84659188
64420.0,ARTIGUELOUTAN,FR,84390059
,,FR,97319175
,,FR,7859280
33440.0,AMBARES,FR,9386117
,,FR,89317072
38000.0,GRENOBLE,FR,80156111
,,FR,42997214
95230.0,SOISY SOUS MONTMORENCY,FR,38627623
95014.0,CERGY PONTOISE,FR,33637589
78500.0,SARTROUVILLE,FR,7260694
64000.0,PAU,FR,33642877
,,FR,75146905
93220.0,GAGNY,FR,77668955
95220.0,HERBLAY,FR,68136584
18000.0,BOURGES,FR,51279704
78700.0,CONFLANS STE HONORINE,FR,1822894
92150.0,SURESNES,FR,99268852
95000.0,CERGY,FR,21076334
78170.0,LA CELLE ST CLOUD,FR,23133390
91230.0,MONTGERON,FR,96202001
78630.0,orgeval,FR,98587671
94000.0,CRETEIL,FR,6583990
78780.0,MAURECOURT,FR,41199180
,,FR,33930668
75019.0,PARIS,FR,22474319
92300.0,LEVALLOIS PERRET,FR,1731363
78260.0,ACHERES,FR,92109025
94120.0,FONTENAY SOUS BOIS,FR,75810195
64000.0,PAU,FR,53246572
,DEN HAAG,NL,78847677
95220.0,HERBLAY,FR,87802285
78260.0,ACHERES,FR,55637852
95800.0,CERGY SAINT CHRISTOPHE,FR,77901023
92120.0,MONTROUGE,FR,9553273
64000.0,PAU,FR,3442949
,,FR,42255550
78570.0,CHANTELOUP LES VIGNES,FR,92835283
,,FR,71660293
92250.0,LA GARENNE COLOMBES,FR,45133775
78600.0,Maisons-Laffitte,FR,15159508
93250.0,VILLEMOMBLE,FR,71158541
95000.0,Cergy,FR,97270414
95270.0,ST MARTIN DU TERTRE,FR,32593681
95110.0,SANNOIS,FR,66119661
95490.0,VAUREAL,FR,36380409
,,FR,21572997
28200.0,Marboué,FR,35113709
11000.0,CARCASSONNE,FR,25973792
95800.0,CERGY LE HAUT,FR,64425512
,,FR,77202315
75018.0,PARIS,FR,69119482
,ARUE,PF,29747446
75013.0,PARIS,FR,15842875
95370.0,MONTIGNY LES CORMEILLES,FR,36368685
78500.0,SARTROUVILLE,FR,18589857
95000.0,Cergy,FR,6864378
59380.0,ARMBOUTS CAPPEL,FR,99050537
95490.0,VAUREAL,FR,99968304
64140.0,Billère,FR,85196312
64140.0,Billère,FR,42563644
64170.0,SERRES ST MARIE,FR,59003787
95370.0,MONTIGNY LES CORMEILLES,FR,30799499
95000.0,Cergy,FR,94265474
78700.0,CONFLANS STE HONORINE,FR,11538612
94100.0,ST MAUR DES FOSSES,FR,16813966
64000.0,Pau,FR,37085825
95000.0,CERGY,FR,17402454
64000.0,Pau,FR,70504238
95390.0,SAINT PRIX,FR,39796877
95380.0,LOUVRES,FR,96413479
92700.0,COLOMBES,FR,16982400
,,FR,70427393
95000.0,CERGY,FR,18346748
64110.0,Mazeres Lezons,FR,55727070
95000.0,NEUVILLE SUR OISE,FR,62321661
95380.0,LOUVRES,FR,34968079
64110.0,GELOS,FR,28156986
75014.0,PARIS 14EME ARRONDISSEMENT,FR,76312889
,,FR,59904459
,ARIANA,TN,86899830
93100.0,Montreuil,FR,78933677
78600.0,MAISONS-LAFFITTE,FR,61228507
6670.0,LEVENS,FR,5557641
95000.0,CERGY,FR,69089446
75009.0,Paris,FR,15216361
92600.0,ASNIERES SUR SEINE,FR,6392142
75014.0,PARIS,FR,62502229
78570.0,ANDRESY,FR,76951559
91700.0,STE GENEVIEVE DES BOIS,FR,9521577
81100.0,CASTRES,FR,88639260
78150.0,Le chesnay,FR,84819193
64000.0,PAU,FR,51839070
,,FR,2459792
78700.0,CONFLANS STE HONORINE,FR,39399249
93100.0,MONTREUIL,FR,26698119
60175.0,VILLENEUVE LES SABLONS,FR,87972506
,,FR,34356239
,,FR,49996135
6810.0,AURIBEAU SUR SIAGNE,FR,36623898
78114.0,MAGNY-LES-HAMEAUX,FR,76177284
64000.0,PAU,FR,17986476
95280.0,JOUY-LE-MOUTIER,FR,52096109
75013.0,PARIS 13EME ARRONDISSEMENT,FR,96401183
,,FR,82772259
,,FR,32929386
,,FR,31441143
92600.0,Asnière,FR,64715525
,appartement 313,FR,43999860
64000.0,PAU,FR,12681573
95220.0,HERBLAY,FR,78494314
24750.0,Boulazac,FR,93764206
75002.0,PARIS,FR,77984214
64320.0,IDRON,FR,61196811
75011.0,PARIS,FR,90753952
,,FR,11653090
63160.0,CHAS,FR,74220148
94210.0,LA VARENNE,FR,37191640
,95800,FR,56767703
75018.0,PARIS,FR,88490170
95000.0,CERGY,FR,26335543
95000.0,Cergy,FR,25725085
95150.0,TAVERNY,FR,2221648
95420.0,MAGNY-EN-VEXIN,FR,22343308
78100.0,SAINT GERMAIN EN LAYE,FR,42256668
,,FR,35812728
,,FR,43680518
,Choix,FR,58399899
,,FR,52702987
,,FR,5723205
,,FR,98945559
73100.0,AIX LES BAINS,FR,11145364
,,FR,46143461
95160.0,MONTMORENCY,FR,28408997
,,FR,56305642
,,FR,69672089
,,FR,11863063
,,FR,92669649
95000.0,CERGY,FR,70273165
92420.0,VAUCRESSON,FR,13089306
78360.0,MONTESSON,FR,27897934
,,FR,84886455
78670.0,VILLENNES SUR SEINE,FR,56266436
64160.0,MORLAAS,FR,54935773
92400.0,COURBEVOIE,FR,70718387
35680.0,MOULINS,FR,79393212
,,FR,96472283
,,FR,26059218
95380.0,Puiseux en France,FR,39651431
,,FR,96166952
,,FR,15188289
64000.0,PAU,FR,14308049
,,FR,60081323
95800.0,CERGY,FR,52217781
22360.0,LANGUEUX,FR,58967205
95000.0,CERGY,FR,18433953
84320.0,ENTRAIGUES SUR LA SORGUES,FR,53799202
95000.0,CERGY,FR,95776626
78700.0,CONFLANS STE HONORINE,FR,54801082
76000.0,ROUEN,FR,35475246
,,FR,38652590
,,FR,30386702
31300.0,Toulouse,FR,75860888
92210.0,CLICHY LA GARENNE,FR,90143320
95230.0,SOISY SOUS MONTMORENCY,FR,41090570
78160.0,MARLY LE ROI,FR,34799957
64000.0,Pau,FR,63436295
,,FR,89847276
78500.0,SARTROUVILLE,FR,53866459
64140.0,BILLERE,FR,61027117
64140.0,BILLERE,FR,24742396
,,FR,2118082
,,FR,22078095
,,FR,13034139
75013.0,PARIS,FR,43425944
31670.0,LABEGE,FR,97053928
64000.0,PAU,FR,5118296
95310.0,SAINT-OUEN L'AUMÔNE,FR,98693929
95130.0,FRANCONVILLE,FR,48402525
,,FR,81908099
38330.0,SAINT ISMIER,FR,31979679
95000.0,CERGY,FR,58868806
95000.0,CERGY,FR,72707947
78420.0,CARRIERES SUR SEINE,FR,12784310
59492.0,HOYMILLE,FR,57940985
,,FR,57912764
95300.0,PONTOISE,FR,29579316
,,FR,99942662
95290.0,L'ISLE ADAM,FR,24185624
31140.0,SAINT ALBAN,FR,11106724
83600.0,FRÉJUS,FR,5147335
75.0,GARGES LES GONESSES,FR,50515652
,,FR,23056351
95420.0,Magny En Vexin,FR,46134052
,,FR,3232626
95110.0,SANNOIS,FR,68988503
95011.0,CERGY PONTOISE CEDEX,FR,19686411
95000.0,CERGY,FR,19702731
93110.0,ROSNY-SOUS-BOIS,FR,44783049
95000.0,CERGY,FR,24584846
,,FR,40420329
78510.0,TRIEL SUR SEINE,FR,21214678
95540.0,MERY SUR OISE,FR,28177299
64000.0,PAU,FR,61729525
75015.0,PARIS,FR,9201090
94160.0,ST MANDE,FR,58614232
64000.0,PAU,FR,11361977
95220.0,HERBLAY,FR,65199619
31500.0,TOULOUSE,FR,50911710
2100.0,SAINT-QUENTIN,FR,7369730
95520.0,OSNY,FR,342051
,CERGY PONTOISE,FR,85778881
,,FR,54645432
78130.0,CHAPET,FR,27509029
,95240,FR,48259555
95220.0,HERBLAY,FR,96593574
,,FR,88299465
95000.0,CERGY,FR,5440203
64800.0,BAUDREIX,FR,90085982
95630.0,MERIEL,FR,65276192
92190.0,MEUDON,FR,45906680
78360.0,montesson,FR,68583629
,,FR,40362928
64000.0,PAU,FR,76922809
,,FR,7161169
93500.0,PANTIN,FR,27975021
,,FR,71106584
95800.0,CERGY,FR,41764505
,"Martinez, Buenos Aires",AR,32736869
95800.0,CERGY,FR,88208992
91070.0,BONDOUFLE,FR,21638775
75006.0,PARIS,FR,45538624
75016.0,PARIS,FR,19908607
64000.0,PAU,FR,76579823
95690.0,LABBEVILLE,FR,43637624
75020.0,PARIS 20EME ARRONDISSEMENT,FR,41180769
75015.0,PARIS,FR,17483038
75020.0,PARIS,FR,84069923
93120.0,LA COURNEUVE,FR,77983927
75017.0,PARIS,FR,8852696
,,FR,65282493
,,FR,29921366
,,FR,85721543
,,FR,78831055
,,FR,38615752
,,FR,53406888
95000.0,CERGY,FR,47109225
31840.0,AUSSONNE,FR,11355816
29270.0,PLONEOUR LANVERN,FR,51574255
,,FR,93318607
95000.0,CERGY PONTOISE,FR,34264695
95800.0,cergy,FR,65593090
31130.0,BALMA,FR,88286359
78700.0,CONFLANS SAINTE HONORINE,FR,85145976
64000.0,PAU,FR,1507655
95800.0,CERGY,FR,47581497
,,FR,49189698
95000.0,NEUVILLE SUR OISE,FR,99283881
38080.0,L'ISLE D'ABEAU,FR,3494030
40130.0,CAPBRETON,FR,41937958
95000.0,CERGY,FR,46823223
64320.0,SENDETS,FR,33000751
34690.0,FABREGUES,FR,10738243
,,FR,70820317
95420.0,MAGNY EN VEXIN,FR,83949552
,,FR,43979674
,,FR,26959650
,,FR,72128469
,,FR,11578952
95450.0,THEMERICOURT,FR,26243482
64320.0,BIZANOS,FR,5446269
,,FR,53581958
97351.0,MATOURY,FR,35361568
76130.0,MONT SAINT AIGNAN,FR,75807525
,,FR,44107247
95660.0,CHAMPAGNE-SUR-OISE,FR,84522431
,,FR,21990517
62650.0,MANINGHEM AU MONT,FR,87472152
95014.0,CERGY,FR,88278624
27150.0,MORGNY,FR,58735423
95000.0,CERGY,FR,21293628
91170.0,VIRY CHATILLON,FR,5371279
77610.0,MARLES-EN-BRIE,FR,7357595
75017.0,PARIS,FR,21023228
78800.0,HOUILLES,FR,73354968
92270.0,BOIS-COLOMBES,FR,23146429
95520.0,OSNY,FR,93120120
64000.0,PAU,FR,69098305
65200.0,VISKER,FR,75863704
,,FR,47131653
,,FR,83118726
10440.0,TORVILLIERS,FR,64306260
64000.0,PAU,FR,17070674
95000.0,CERGY,FR,88722169
,,FR,79673011
,LISBONNE,PT,49232044
83200.0,TOULON,FR,73901039
64160.0,SAINT-JAMMES,FR,12681193
95610.0,ERAGNY,FR,50959524
,,FR,50194703
,,FR,79650369
94430.0,CHENNEVIERE S/MARNE,FR,52555494
64000.0,PAU,FR,64937772
65390.0,ANDREST,FR,86935822
64000.0,PAU,FR,69126132
95230.0,SOISY-SOUS-MONTMORENCY,FR,78371942
,,FR,50115521
33127.0,Martignas sur Jalles,FR,10276876
95280.0,JOUY LE MOUTIER,FR,72618128
95000.0,CERGY PONTOISE,FR,89786278
,,FR,6316920
78510.0,TRIEL SUR SEINE,FR,70483325
64110.0,ST FAUST,FR,4655160
8000.0,CHARLEVILLE MEZIEREZ,FR,10851625
78260.0,ACHÈRES,FR,62961185
33290.0,LE PIAN MÉDOC,FR,20178191
59493.0,VILLENEUVE D'ASCQ,FR,56147179
59130.0,LAMBERSART,FR,3858363
,,FR,39918621
68100.0,MULHOUSE,FR,59813256
95120.0,ERMONT,FR,91111326
95000.0,CERGY,FR,10078376
,,FR,36434730
64000.0,PAU,FR,28649625
,,FR,14965651
92320.0,CHATILLON,FR,85119280
