ID_ANO,PRG,ANNE_SCOLAIRE,SITE
70031777,ING3,2015/2016,Cergy
70031777,SIE,2014/2015,Cergy
70031777,ING2,2014/2015,Cergy
70031777,GI,2014/2015,Cergy
